firstName;lastName;birthday;email;city;playOn;score
Hiram;Alston;2008-02-09;egestas@Crasvehicula.net;Paris;2016-07-10;6715
Kameko;Santana;1999-07-17;non.massa@acsemut.net;Paris;2016-12-30;5666
Kylie;Hogan;1943-10-16;posuere.vulputate.lacus@tinciduntadipiscingMauris.edu;Toulouse;2016-06-11;9751
Griffin;Dixon;2009-11-01;nec@Nullaeu.ca;Paris;2016-10-07;6278
Flynn;Pace;1989-03-12;Fusce.diam.nunc@tristique.com;Lyon;2016-12-06;4795
Tallulah;Mejia;1940-04-28;magna.a.neque@etmalesuada.com;Paris;2016-09-02;4379
Maia;Trevino;1908-06-06;diam@semNullainterdum.org;Lyon;2016-10-15;8155
Candice;Morris;1942-05-27;tristique@orci.ca;Toulouse;2016-03-04;3933
Miriam;Peck;1942-04-04;mauris@placerat.co.uk;Toulouse;2016-03-21;4145
Rana;Fields;1913-03-29;arcu.Vivamus@Praesent.co.uk;Toulouse;2016-05-08;2720
Nero;Meadows;1969-12-14;placerat.eget@purusmaurisa.com;Toulouse;2016-06-21;6726
Stone;Bush;1904-10-07;tincidunt.Donec.vitae@nonfeugiat.org;Toulouse;2016-01-20;1799
Harper;Underwood;1901-04-21;ipsum@tellusnonmagna.edu;Paris;2016-01-24;9650
Zeph;Levine;1928-04-06;leo.Cras@vitae.ca;Paris;2016-09-10;4573
Cynthia;Pate;1988-08-07;a.mi@aliquetlobortis.ca;Nice;2016-01-12;7419
Pascale;Washington;1972-11-29;elementum.purus.accumsan@sit.co.uk;Paris;2016-03-14;3664
Hiroko;Lynn;1957-09-17;auctor@ultrices.com;Lyon;2016-10-21;3060
Buckminster;Walls;1928-03-05;lacus@CuraePhasellusornare.ca;Paris;2016-10-21;102
Ralph;Burt;1935-06-21;elit@faucibuslectusa.edu;Marseille;2016-03-16;6886
Caleb;Barker;1967-07-05;nunc.sit@lacusQuisquepurus.org;Marseille;2016-04-05;7247
Florence;Trevino;2010-09-03;velit.Aliquam@quis.net;Paris;2016-07-19;1815
Uriel;Pollard;1974-08-22;id@sedorcilobortis.org;Nice;2016-04-29;3438
Lenore;Barker;1901-01-27;est@nibhdolornonummy.ca;Marseille;2016-05-23;9024
Burton;Decker;1948-10-01;aliquam.eros.turpis@varius.net;Lyon;2016-12-26;7257
Sarah;Mcmahon;1925-06-28;risus.odio.auctor@Duis.ca;Toulouse;2016-04-20;9518
Medge;Hickman;1995-09-12;quam.a@nibh.edu;Marseille;2016-05-31;6627
Francesca;Casey;2001-01-22;augue.ac@Cras.com;Toulouse;2016-07-25;9924
Vladimir;Dominguez;1991-04-01;pharetra.ut.pharetra@SuspendissesagittisNullam.org;Lyon;2016-02-09;3550
Garth;Myers;2015-12-21;lorem.eget.mollis@ornare.net;Nice;2016-06-14;986
Quentin;Mcgowan;1958-05-13;nec.imperdiet.nec@pulvinar.co.uk;Lyon;2016-12-15;4560
Salvador;Rowe;1917-05-10;scelerisque.neque@Nulla.edu;Lyon;2016-07-28;9457
Brittany;Rush;1969-08-15;augue.malesuada.malesuada@Pellentesqueutipsum.net;Toulouse;2016-12-18;1396
Jelani;Hobbs;1910-01-18;iaculis.odio.Nam@metusAeneansed.co.uk;Marseille;2016-09-20;1375
Roanna;Dodson;1969-08-14;eu.nulla@hendreritid.edu;Lyon;2016-02-09;3805
Martha;Vang;1972-11-15;diam.Duis.mi@elitpretium.co.uk;Paris;2016-11-02;2068
Quemby;Boyd;1933-03-08;non.dapibus@sagittislobortis.com;Marseille;2016-01-10;9387
Maggie;Green;1963-07-05;eu.metus.In@Vivamusnon.org;Paris;2016-08-22;379
Ava;Ballard;1992-06-14;molestie@posuereenimnisl.net;Paris;2016-11-02;4438
Bradley;Lewis;1914-03-23;elit.dictum@nonfeugiat.co.uk;Lyon;2016-07-31;5787
Rhoda;Glover;1969-11-20;lorem@Donecnibh.org;Marseille;2016-09-19;956
Cooper;Coleman;1948-04-19;mi.ac.mattis@metusAliquam.ca;Nice;2016-11-16;8677
Giacomo;Dyer;1943-06-26;semper.erat@facilisisnonbibendum.com;Marseille;2016-12-25;1427
Cherokee;Trevino;1957-12-11;molestie.Sed.id@primisin.co.uk;Paris;2016-05-12;5219
Catherine;Marquez;2002-07-02;enim@egestasrhoncusProin.com;Lyon;2016-01-30;4585
Colleen;Galloway;1917-12-30;Quisque.imperdiet@ametdapibusid.org;Paris;2016-03-29;4367
Uriel;Serrano;2013-09-12;dapibus.ligula.Aliquam@Nunc.com;Lyon;2016-01-19;1121
Kyra;Short;1921-09-22;egestas.a.scelerisque@quisdiam.edu;Marseille;2016-07-15;2168
Bradley;Kirby;2015-06-12;at@sollicitudinadipiscingligula.edu;Nice;2016-06-17;4129
Ralph;Butler;1944-11-25;non.lacinia@molestieorcitincidunt.org;Nice;2016-04-09;3994
Declan;Williams;1947-03-09;pharetra@urnaet.co.uk;Toulouse;2016-05-05;2076
Aimee;Buchanan;1953-07-16;justo@nonhendrerit.edu;Lyon;2016-02-15;4134
Frances;Trujillo;2000-11-24;pellentesque.a.facilisis@anteiaculis.net;Nice;2016-01-29;6442
Lois;Woods;1914-11-02;rhoncus@vulputate.edu;Lyon;2016-10-23;7544
Ezekiel;Bender;1936-02-04;Donec.sollicitudin.adipiscing@tempusloremfringilla.net;Toulouse;2016-06-12;7194
Jesse;Mcpherson;1938-05-30;Nunc.ut@velnislQuisque.org;Marseille;2016-09-18;7647
