firstName;lastName;birthday;email;city;playOn;score
Karina;Barry;1935-10-13;dolor@tempusrisus.edu;Paris;2017-05-03;6870
Axel;Hamilton;1915-09-01;nibh.Phasellus.nulla@magnisdisparturient.co.uk;Paris;2017-02-06;7387
Lawrence;Nicholson;2005-09-25;Aenean.sed.pede@faucibus.org;Marseille;2017-01-16;7069
Raja;Sykes;1909-07-29;Sed.congue@purus.ca;Toulouse;2017-02-04;8101
Lila;Sanford;1985-11-09;risus.Duis@Suspendissedui.net;Lyon;2017-01-11;6858
Noah;Ellis;1945-07-06;mollis@ultricesmauris.edu;Nice;2017-06-02;3532
Alec;Mason;1902-09-21;dapibus@purusaccumsan.com;Paris;2017-04-24;8677
Plato;Burris;1910-04-06;id@infaucibusorci.org;Nice;2017-03-05;6062
Knox;Wilson;1961-07-24;non@Nullam.edu;Toulouse;2017-02-25;6543
Isabella;Sutton;1962-12-15;aliquet@facilisiseget.ca;Lyon;2017-04-26;5227
Gail;Mendez;2016-02-16;Curabitur.dictum@dictum.org;Lyon;2017-03-26;8882
Vanna;Hogan;1943-10-29;diam.nunc.ullamcorper@etlibero.com;Paris;2017-04-29;8280
Julian;Joyce;1970-05-22;cursus.non@egestas.net;Toulouse;2017-06-07;6468
Barbara;Reid;1976-05-24;lectus.justo.eu@tinciduntduiaugue.org;Toulouse;2017-05-29;4528
Kylie;Flores;1908-01-10;eu.erat.semper@morbitristique.org;Toulouse;2017-01-08;6364
Forrest;Benjamin;1995-05-20;Integer.vulputate.risus@lectus.net;Paris;2017-03-11;9591
Samantha;Ross;1987-09-17;ornare.sagittis.felis@pharetraNamac.ca;Marseille;2017-01-20;3073
Yen;Orr;1915-04-06;libero@risusNuncac.ca;Paris;2017-01-12;2234
Colby;Hoover;1999-09-22;magnis@tempus.com;Marseille;2017-02-18;3645
Abbot;Griffin;2012-02-06;semper.rutrum@tincidunt.org;Paris;2017-05-15;3556
Jolie;Madden;1912-11-08;turpis@dictum.edu;Toulouse;2017-01-29;4938
Jerome;Aguilar;1955-09-03;magna@in.org;Lyon;2017-03-29;8687
Madonna;Pittman;1921-10-07;Sed@magnaa.ca;Paris;2017-01-31;1565
Phyllis;Lynn;1935-01-06;magna.Suspendisse.tristique@ullamcorper.org;Paris;2017-04-08;7608
Quamar;Holmes;1945-12-29;congue.turpis.In@estarcuac.org;Toulouse;2017-03-09;3998
Irene;Massey;1994-12-25;amet.consectetuer@quam.co.uk;Paris;2017-02-13;3217
Cody;Estrada;1922-10-26;sapien.imperdiet@fringillacursus.co.uk;Marseille;2017-04-17;1309
Yolanda;Terrell;1922-05-08;amet.ornare@eratnequenon.ca;Nice;2017-02-13;7657
Keith;Battle;2003-10-29;Curabitur.dictum@ligulaconsectetuer.net;Nice;2017-01-10;3557
Carson;Carver;1944-07-29;Quisque.ac@tempuseu.com;Toulouse;2017-05-02;8899
Camille;Goff;1913-07-01;nibh.Phasellus.nulla@Sedet.com;Lyon;2017-01-24;2486
Holly;Chang;2013-12-11;faucibus.ut@fringillaDonecfeugiat.edu;Paris;2017-02-17;8569
Daquan;Ayala;1975-05-03;interdum@convallisdolor.co.uk;Lyon;2017-01-19;3968
Blaine;Summers;1906-07-26;neque.tellus.imperdiet@Sedetlibero.net;Paris;2017-03-31;2217
Odette;Roach;2011-05-29;tincidunt.nibh.Phasellus@nullavulputate.net;Toulouse;2017-04-19;9323
Ria;Robbins;1962-10-17;scelerisque@atortor.edu;Lyon;2017-01-05;7889
Dai;Stafford;1936-08-27;massa@magnis.edu;Toulouse;2017-04-02;8376
Dora;Mckee;1928-09-11;lorem.Donec.elementum@lacusMaurisnon.co.uk;Lyon;2017-05-23;5106
Justina;Delgado;2015-02-16;ligula.Nullam@etultricesposuere.com;Lyon;2017-04-28;2878
Norman;Tucker;2010-04-26;dolor.elit.pellentesque@tinciduntDonec.ca;Marseille;2017-01-09;2002
Sandra;Levine;1951-09-17;Pellentesque.tincidunt.tempus@Etiamlaoreet.org;Nice;2017-02-01;4936
Richard;Ferguson;2009-08-01;Duis@magnisdis.net;Nice;2017-03-20;861
Alvin;Mayo;1912-03-08;massa.Mauris.vestibulum@acipsumPhasellus.org;Toulouse;2017-01-05;4801
Aaron;Kidd;1964-11-30;sed@mauris.net;Marseille;2017-05-15;8202
Inez;Larsen;1990-07-12;Quisque@feugiat.edu;Lyon;2017-01-06;714
Kasper;Nunez;1938-09-23;Fusce@risusQuisque.com;Nice;2017-04-05;7496
Melvin;Mills;1904-02-12;tempor@suscipitnonummy.co.uk;Marseille;2017-04-27;369
Serena;Delgado;2000-02-02;pretium.neque.Morbi@felis.ca;Nice;2017-05-14;8266
Mira;Chen;1992-03-31;ornare.lectus.justo@atnisi.co.uk;Lyon;2017-05-19;2510
Rebecca;Robinson;1917-11-27;orci.lacus.vestibulum@eudui.co.uk;Paris;2017-04-17;2756
Logan;Aguilar;1950-12-03;penatibus.et.magnis@estacfacilisis.ca;Paris;2017-01-26;2842
Elizabeth;Haney;2014-09-29;id.nunc@mattis.org;Paris;2017-04-07;3499
Deacon;Weber;1975-04-19;ac@rutrummagna.co.uk;Marseille;2017-05-04;6824
Jemima;Lang;1904-04-20;diam.eu.dolor@pellentesqueSeddictum.org;Paris;2017-05-02;2014
Upton;Hampton;1925-10-17;tempor@vitaedolor.net;Paris;2017-01-13;3422
Althea;Walter;2010-10-12;cursus.et.magna@Curae.co.uk;Nice;2017-04-22;3357
Lucas;Johnson;2005-09-06;et.eros.Proin@nequesed.edu;Paris;2017-05-27;2320
Francesca;Shelton;1905-10-31;neque.venenatis@ultricies.edu;Lyon;2017-06-01;345
Rafael;Rodriquez;1936-06-18;semper.erat.in@auctornonfeugiat.ca;Nice;2017-04-01;9573
Hayfa;Crosby;2012-12-17;turpis@magnisdisparturient.net;Nice;2017-06-09;9338
Elton;Yang;1943-05-14;non.sapien@idante.org;Lyon;2017-05-07;7030
Thomas;Mcintyre;1905-08-29;amet.lorem@mauris.ca;Paris;2017-03-04;2091
Claire;Walton;1949-03-03;arcu.imperdiet@scelerisque.org;Nice;2017-03-14;584
Denise;Harrington;1975-10-22;Donec@Aliquamornarelibero.com;Nice;2017-04-04;551
Judah;Campos;1974-01-21;magna.Nam.ligula@ornareelit.co.uk;Nice;2017-06-03;6274
Grace;Robles;2009-01-08;Aliquam.ornare@metus.com;Toulouse;2017-04-01;4178
Savannah;Clements;1986-05-23;gravida.non.sollicitudin@etmagnis.com;Nice;2017-01-25;5147
