firstName;lastName;birthday;email;city;playOn;score
Amery;Bishop;1979-01-12;egestas@ipsumdolorsit.com;Lyon;2014-06-04;1845
Lilah;Bray;1946-01-03;vel@Quisque.org;Toulouse;2014-04-12;8907
Martin;Love;1961-05-09;eget@pretiumaliquet.co.uk;Paris;2014-09-18;2050
Stella;Alvarez;1949-06-04;eget.odio@idblanditat.co.uk;Paris;2014-08-17;7203
Owen;Ford;1944-07-09;ut.pharetra@vitaealiquameros.ca;Paris;2014-12-14;9285
Gretchen;Roberts;1914-03-10;magnis.dis@quis.ca;Marseille;2014-11-12;931
Jerome;Day;1948-06-20;erat@quamelementumat.com;Marseille;2014-04-11;1740
Erasmus;Mills;1905-02-17;ornare.Fusce.mollis@nonenimMauris.co.uk;Nice;2014-06-27;9525
Yoshi;Daniel;1968-06-30;euismod@pellentesqueegetdictum.ca;Toulouse;2014-01-19;8235
Matthew;Valencia;1972-10-20;aliquet.diam.Sed@cursusinhendrerit.net;Marseille;2014-10-28;8937
Helen;Bass;1935-05-23;risus@dui.net;Toulouse;2014-06-04;5576
Leo;Ratliff;1905-11-08;Aliquam@dignissimlacusAliquam.com;Lyon;2014-02-02;9263
Camilla;King;2010-07-11;egestas.Duis.ac@sagittislobortismauris.co.uk;Nice;2014-01-10;7896
Paula;Gibson;1975-03-09;sit.amet.metus@magnaLoremipsum.com;Nice;2014-10-02;7364
Bruno;Suarez;2014-06-02;ac@Phasellus.com;Toulouse;2014-03-03;5930
Jillian;Harding;1994-08-30;velit.eu.sem@Morbimetus.co.uk;Marseille;2014-03-11;7229
Judah;Hawkins;1963-01-30;netus@Aliquameratvolutpat.net;Toulouse;2014-12-17;883
Pamela;Ferrell;1983-07-03;Nullam.ut@condimentumDonecat.com;Paris;2014-03-13;3949
Emerald;Leblanc;1903-08-23;diam.dictum@pellentesquemassa.ca;Toulouse;2014-11-04;3677
Shea;Park;1979-03-26;risus.In@posuerevulputate.ca;Toulouse;2014-06-02;375
Nina;Hahn;1937-01-14;nisi.Aenean@lobortisquam.net;Lyon;2014-12-07;8290
Axel;Griffin;1985-12-15;ante.dictum@justo.com;Paris;2014-11-19;7788
Tad;Clay;1998-01-25;molestie.sodales@sempercursusInteger.edu;Lyon;2014-02-03;8138
Alexander;Cortez;1940-09-17;Praesent.eu@elitpharetra.co.uk;Lyon;2014-06-06;790
Chancellor;Waters;1975-04-18;arcu@id.edu;Paris;2014-05-20;654
Chaim;Nixon;1910-07-21;tellus.Suspendisse@aneque.ca;Lyon;2014-11-02;1279
Lance;Phelps;1960-12-16;at@idante.com;Marseille;2014-01-02;3785
Echo;Berger;1965-06-27;nisl@nisiCumsociis.org;Toulouse;2014-06-02;7068
Christian;Walter;1937-06-12;tincidunt@libero.net;Toulouse;2014-09-18;8722
Serina;Gomez;1988-11-08;euismod@purusmaurisa.edu;Paris;2014-10-09;8029
Kimberly;Vasquez;1905-09-12;Nullam.scelerisque@leoMorbineque.net;Nice;2014-07-27;6331
Kelsie;Sandoval;1941-07-21;mauris.sit@dapibusrutrumjusto.net;Toulouse;2014-03-14;2281
Donovan;Woodard;1983-10-06;non@Quisquetincidunt.edu;Paris;2014-07-27;3083
Benedict;Sharpe;1911-11-12;Phasellus.elit.pede@elit.co.uk;Lyon;2014-11-07;2344
Fletcher;Moore;1912-10-20;hendrerit.neque@Nullafacilisis.org;Paris;2014-09-10;4616
Carter;Rivera;1979-04-22;Suspendisse.non.leo@nonummyFusce.ca;Marseille;2014-03-20;5077
Beatrice;Phelps;1964-02-09;molestie.orci@dui.com;Paris;2014-04-18;9257
Ora;Downs;2000-07-02;Cras.dolor.dolor@atvelit.edu;Marseille;2014-06-03;8071
Kiona;Waters;1947-07-01;dapibus.ligula@duiCum.net;Paris;2014-07-08;2129
Berk;Wolf;1933-08-01;sit.amet.lorem@Aliquam.ca;Lyon;2014-03-10;3288
Chelsea;Wheeler;1913-03-02;lacinia.at@enim.net;Paris;2014-04-30;7899
Scarlet;Ford;1953-03-06;dui@Fuscemilorem.net;Marseille;2014-11-29;7150
Elvis;Hester;2005-01-11;ante@Proin.com;Marseille;2014-03-16;6755
Maia;Rogers;1906-04-07;massa.Quisque.porttitor@MaurismagnaDuis.org;Nice;2014-05-16;2790
Katelyn;Wood;1960-05-23;a.purus.Duis@leoMorbi.co.uk;Nice;2014-06-05;6196
Leah;Hendrix;1954-12-30;nibh@sodalesat.net;Marseille;2014-05-22;2136
Haley;Benjamin;2008-09-05;Nam@sit.edu;Marseille;2014-06-21;4190
Quynn;Mccullough;2009-11-17;ornare.lectus@eu.ca;Paris;2014-02-06;3741
Lucy;Black;1946-09-02;odio.Etiam@pellentesqueSeddictum.org;Marseille;2014-11-14;3636
Ira;Blevins;1945-05-29;Curae@nulla.org;Toulouse;2014-04-26;6297
Keane;Buchanan;1995-06-07;et.malesuada@Fuscemollis.edu;Nice;2014-10-21;9713
Colette;Randolph;1981-10-01;placerat.eget@Nullasemper.net;Marseille;2014-09-16;1072
